P,land,soil,ET,I,R
21,shrub,3,0.473202,6.504741676005814,14.022056323994184
21,grassland,0,0.5678424000000001,19.209274471305136,1.2228831286948607
21,grassland,1,0.5678424000000001,12.031358875274774,8.400798724725226
21,grassland,2,0.5678424000000001,8.208207638767806,12.223949961232194
21,grassland,3,0.5678424000000001,6.1090693040858595,14.32308829591414
21,pasture,0,0.49949099999999996,17.271861602342636,3.2286473976573644
21,pasture,1,0.49949099999999996,11.229415101313164,9.271093898686836
21,pasture,2,0.49949099999999996,7.379382107230708,13.121126892769292
21,pasture,3,0.49949099999999996,5.574400871165643,14.926108128834356
21,cultivated_crops,0,0.6046469999999999,9.360499473489423,11.034853526510576
21,cultivated_crops,1,0.6046469999999999,6.072264704085859,14.32308829591414
21,cultivated_crops,2,0.6046469999999999,3.956980400314133,16.438372599685867
21,cultivated_crops,3,0.6046469999999999,2.7433711285636595,17.651981871436337
21,woody_wetlands,0,0.6309359999999999,19.14618087130514,1.2228831286948607
21,woody_wetlands,1,0.6309359999999999,19.14618087130514,1.2228831286948607
21,woody_wetlands,2,0.6309359999999999,19.14618087130514,1.2228831286948607
21,woody_wetlands,3,0.6309359999999999,19.14618087130514,1.2228831286948607
